Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Rita,Thorsen,Pettersenstien 85,Maritgrunn,9121,Norge,NO,19910129-8349,+47,08720814,1991-01-29,True
Jennifer,Ritter,Mcguire Turnpike 9054,Brittanyshire,23658,Danmark,DK,19600223-0659,+45,001-912-456-1854x7966,1960-02-23,True
Marie,Nygren,Skolgränd 1,Falun,19444,Sverige,SE,19560630-1398,+46,08-889 78 57,1956-06-30,True
Christopher,Jenkins,Buckley Prairie 0704,Veronicafurt,63016,Danmark,DK,19410927-5913,+45,(776)837-7018x0482,1941-09-27,True
Kristina,Börjesson,Ringgatan 60,Gävle,34179,Sverige,SE,19621123-6106,+46,0245-804 77,1962-11-23,True
Urban,Eliasson,Björkgränd 801,Karlstad,89703,Sverige,SE,19660214-9857,+46,+46 (0)8 923 045 27,1966-02-14,True
Solveig,Lunde,Jakobsenhaugen 9A,Pettersen,3459,Norge,NO,19710323-8564,+47,66596914,1971-03-23,True
Joe,Blair,Ward View 888,West Matthew,36008,Danmark,DK,19480705-1687,+45,470.669.7556x9090,1948-07-05,True
Marie,Petersson,Kvarngatan 35,Sundsvall,33742,Sverige,SE,19730426-8732,+46,+46 (0)25 27 85 59,1973-04-26,True
Hanne,Haug,Haugestubben 5,Dagodden,2114,Norge,NO,19500122-8712,+47,958 78 599,1950-01-22,True
Oskar,Olsson,Gengränd 1,Landskrona,42303,Sverige,SE,19830905-8137,+46,0147-994 68,1983-09-05,True
Ann-Christin,Larsson,Ringtorget 1,Varberg,55638,Sverige,SE,19600518-5861,+46,08-899 575 58,1960-05-18,True
Bengt,Nord,Fabriksvägen 3,Malmö,78901,Sverige,SE,19830919-1287,+46,08-588 39 49,1983-09-19,True
Sigrid,Sivertsen,Moenalléen 3,Andreasfjell,7481,Norge,NO,19590716-2022,+47,43090603,1959-07-16,True
Siiri,Heikkinen,Uussillankatu 357,Mustasaari,53462,Finland,FI,19620428-583K,+358,+358 642733498,1962-04-28,True
Eirik,Sandvik,Hansenringen 6C,Gulbrandsen,6020,Norge,NO,19500122-4985,+47,438 92 531,1950-01-22,True
Jennifer,Shaffer,Gonzales Crest 096,Port William,62861,Danmark,DK,19440704-9426,+45,364.967.3232x3456,1944-07-04,True
Frank,Lien,Birkelandmarka 2D,Mathisen,7490,Norge,NO,19940307-1202,+47,468 44 309,1994-03-07,True
Zachary,Richards,Elliott Hills 5728,North Mackenzie,03932,Danmark,DK,19860413-0458,+45,517-618-6195x00409,1986-04-13,True
Steven,Figueroa,Theresa Radial 193,Debraville,05077,Danmark,DK,19651018-9033,+45,+1-872-903-0645x47729,1965-10-18,True
Lene,Svendsen,Hauglandbakken 66,Andersen,7905,Norge,NO,19950531-5725,+47,936 79 105,1995-05-31,True
Sture,Lundgren,Parkgatan 24,Nyköping,42779,Sverige,SE,19960715-7736,+46,0712-000 57,1996-07-15,True
Peter,Jansson,Björkgatan 65,Stockholm,26518,Sverige,SE,19490920-5812,+46,08-08 82 50,1949-09-20,True
Roar,Aune,Nilsenbakken 2,Ritaby,4124,Norge,NO,19460113-7072,+47,35 39 86 95,1946-01-13,True
Anneli,Lindqvist,Industrivägen 937,Uppsala,18873,Sverige,SE,19631208-4521,+46,+46 (0)741 954 57,1963-12-08,True
Samuel,Chavez,Walls Oval 505,South Christopherchester,82367,Danmark,DK,19930820-9655,+45,001-360-571-3452x29501,1993-08-20,True
Astrid,Andersson,Ekvägen 188,Mölndal,28638,Sverige,SE,19751011-5855,+46,+46 (0)05 80 32 51,1975-10-11,True
Amy,Friedman,Chad Terrace 8982,Hendrickston,50898,Danmark,DK,19870522-3357,+45,(728)686-5596,1987-05-22,True
Maud,Svensson,Parkgatan 063,Helsingborg,78016,Sverige,SE,19640810-8201,+46,+46 (0)99 68 35 32,1964-08-10,True
Connie,Ware,Tyler Locks 59257,Lake Johnberg,03676,Danmark,DK,19680517-3057,+45,9755858878,1968-05-17,True
Linnea,Sandström,Ektorget 0,Landskrona,62796,Sverige,SE,19910623-0678,+46,+46 (0)929 445 14,1991-06-23,True
Tapio,Mattila,Hannukselankatu 7,Säkylä,07245,Finland,FI,19530425-2516,+358,+358398072530,1953-04-25,True
Shelley,Buchanan,Moore Court 800,Justinstad,31378,Danmark,DK,19400308-7145,+47,633.559.7476x411,1940-03-08,True
Alf,Johansen,Thomassenekra 8,Bakken,2202,Norge,NO,19831106-0879,+47,88 32 71 24,1983-11-06,True
Unni,Henriksen,Auneflata 411,Linestad,7431,Norge,NO,19690427-1294,+47,78136393,1969-04-27,True
Jonas,Persson,Parkgatan 981,Kalmar,99938,Sverige,SE,19960814-9464,+46,+46 (0)8 724 207 52,1996-08-14,True
Elisabeth,Olsson,Skolvägen 0,Växjö,26937,Sverige,SE,19470220-3799,+46,08-116 582 53,1947-02-20,True
Erik,Johansson,Industrigatan 457,Landskrona,84415,Sverige,SE,19800628-9686,+46,+46 (0)43 04 24 62,1980-06-28,True
Theresa,Branch,Heather Garden 840,Brownview,74441,Danmark,DK,19920603-9386,+45,001-739-306-7787x68167,1992-06-03,True
Lars,Bengtsson,Parkgatan 42,Ängelholm,87839,Sverige,SE,19721018-9110,+46,049-234 89 85,1972-10-18,True
Uno,Persson,Björkvägen 38,Ängelholm,26353,Sverige,SE,19530515-5481,+46,08-25 86 03,1953-05-15,True
Ruth,Danielsen,Hanssenholtet 4,Lisemark,2527,Sverige,NO,19471205-6393,+47,54547493,1947-12-05,True
Gunilla,Karlsson,Björkstigen 48,Jönköping,86688,Sverige,SE,19540924-5547,+46,08-693 13 08,1954-09-24,True
Sven,Lindblad,Industrigränd 65,Alingsås,17895,Sverige,SE,19420224-3620,+46,0794-753 37,1942-02-24,True
Helena,Lundkvist,Genvägen 239,Halmstad,79481,Sverige,SE,19941024-9775,+46,+46 (0)379 314 47,1994-10-24,True
Rose-Marie,Olofsson,Bäckvägen 94,Örnsköldsvik,93770,Sverige,SE,19630916-7398,+46,+46 (0)18 30 08 57,1963-09-16,True
Maria,Bengtsson,Furugatan 76,Falun,38665,Sverige,SE,19400820-0723,+46,08-276 12 40,1940-08-20,True
Karin,Engström,Storvägen 2,Kalmar,15727,Sverige,SE,19441028-9387,+46,094-819 83 22,1944-10-28,True
Erling,Andersen,Aasgata 794,Robertby,8462,Norge,NO,19420412-7091,+47,80717925,1942-04-12,True
Elsie,Gustafsson,Bäckgatan 81,Trelleborg,98058,Sverige,SE,19430808-3121,+46,+46 (0)79 75 38 81,1943-08-08,True
Jennie,Karlsson,Skolgatan 17,Varberg,17278,Sverige,SE,19480203-5176,+46,050-36 92 26,1948-02-03,True
Matthew,Washington,Nicholas Summit 468,Valdezburgh,06820,Danmark,DK,19660120-8040,+45,(219)975-2221,1966-01-20,True
Magnus,Dahlgren,Järnvägsstigen 049,Södertälje,38622,Sverige,SE,19741011-6387,+46,034-627 93 83,1974-10-11,True
Joshua,Rivas,Luna Islands 359,West Cassandrahaven,74004,Danmark,DK,19571121-9607,+45,651.212.5140x46793,1957-11-21,True
Turid,Ali,Dahlstranda 5C,Eliassen,4193,Norge,NO,19770910-3496,+47,60736513,1977-09-10,True
Evelina,Öhman,Björkvägen 4,Norrköping,53632,Sverige,SE,19471107-5323,+46,081-48 12 21,1947-11-07,True
Robert,Jonasson,Grantorget 51,Södertälje,58832,Sverige,SE,19501012-4076,+46,+46 (0)277 262 05,1950-10-12,True
Jason,Campbell,Joshua Lodge 5987,Amandaberg,70110,Danmark,DK,20001106-1506,+45,205.873.0414x6181,2000-11-06,True
Kalevi,Helenius,Kimmonkatu 73,Uurainen,61952,Finland,FI,19580411-492P,+358,+358544844898,1958-04-11,True
Ulla,Eriksson,Fabriksgatan 6,Eskilstuna,95855,Sverige,SE,20001205-4994,+46,0530-361 24,2000-12-05,True
Paul,Griffin,Dunn Junction 487,Katherineshire,56144,Danmark,DK,19640911-2797,+45,(862)237-8041,1964-09-11,True
Ingegärd,Knutsson,Industritorget 48,Södertälje,50200,Sverige,SE,19890911-8158,+46,08-04 30 96,1989-09-11,True
Tuula,Kujala,Kolvipolku 731,Saarijärvi,54108,Finland,FI,19860906-2790,+358,+358 777002440,1986-09-06,True
Julia,Svensson,Parkvägen 1,Ängelholm,60741,Sverige,SE,20001109-9630,+46,005-711 32 03,2000-11-09,True
Astrid,Kristoffersen,Jakobsenmarka 9,Geirsand,2280,Norge,NO,19781026-6672,+47,+47 75 66 07 05,1978-10-26,True
Shane,Martin,Lang Roads 84421,New Thomas,70555,Danmark,DK,19620127-4297,+45,+1-446-490-7009x37418,1962-01-27,True
Stephanie,Long,Walker Track 24078,West John,34504,Danmark,DK,19690204-2517,+45,230-425-8296,1969-02-04,True
Lena,Lindgren,Parkvägen 932,Göteborg,91601,Sverige,SE,19950827-1711,+46,08-550 46 24,1995-08-27,True
Veikko,Hiltunen,Kiitäjänbulevardi 23,Petäjävesi,91266,Finland,FI,19960720-204S,+358,(+358) 573542098,1996-07-20,True
Märta,Holmström,Stationsvägen 45,Lund,44550,Sverige,SE,19850526-7772,+46,053-37 19 64,1985-05-26,True
Caroline,Lundin,Ängstorget 67,Stockholm,25314,Sverige,SE,19420625-0469,+46,08-565 35 14,1942-06-25,True
Karl,Andersson,Aspgränd 24,Falun,22015,Sverige,SE,19511203-1975,+46,0371-98 69 19,1951-12-03,True
Annika,Jokinen,Lentokapteenin bulevardi 692,Vesilahti,14675,Finland,FI,19401007-115A,+358,+358948099059,1940-10-07,True
Maria,Mattsson,Stationsstigen 4,Karlskoga,68164,Sverige,SE,19540405-4307,+46,022-717 71 07,1954-04-05,True
Marte,Eliassen,Tangenbråten 31,Evensen,3264,Norge,NO,19620116-8816,+47,91804229,1962-01-16,True
Brenda,Sheppard,Stone Center 80721,Kimberlymouth,78606,Danmark,DK,19851124-8233,+45,(485)290-6574,1985-11-24,True
Karl,Öhman,Industrigränd 684,Lidingö,93341,Sverige,SE,19981012-9229,+46,08-432 712 13,1998-10-12,True
Helena,Stenberg,Björktorget 18,Sundsvall,92604,Sverige,SE,19910530-6676,+46,0805-883 61,1991-05-30,True
Julie,Cohen,Harris Inlet 66477,North Andrea,64438,Danmark,DK,19790806-5718,+45,774-549-1988x061,1979-08-06,True
Johanna,Karjalainen,Kolukuja 53,Juva,72148,Finland,FI,19931211-169W,+358,+358 610375492,1993-12-11,True
Erik,Andersson,Parkvägen 59,Eskilstuna,62447,Sverige,SE,19521202-9948,+46,08-473 65 59,1952-12-02,True
Karl,Berg,Storvägen 145,Mölndal,76435,Sverige,SE,19890416-9447,+46,08-413 23 88,1989-04-16,True
Arne,Andersson,Trädgårdsvägen 94,Piteå,70899,Sverige,SE,19710819-4217,+46,070-847 06 93,1971-08-19,True
Eli,Strøm,Lieneggen 6,Emiliehavn,8299,Norge,NO,19491203-6514,+47,451 10 881,1949-12-03,True
Andrea,Larsen,Bøealléen 18,Emiliefjord,7345,Norge,NO,19840426-3665,+47,+4759043038,1984-04-26,True
Eveliina,Laitinen,Orvokkikatu 74,Kärkölä,24133,Finland,FI,19790924-039W,+358,+358389360169,1979-09-24,True
Barbro,Lundin,Ekvägen 3,Lidköping,92816,Sverige,SE,19820613-1404,+46,0180-58 16 02,1982-06-13,True
Veronica,Jönsson,Kyrkogatan 672,Östersund,86491,Sverige,SE,19580807-9690,+46,08-766 25 11,1958-08-07,True
Marte,Abrahamsen,Hagenkollen 01B,Knutsen,8239,Norge,NO,19760211-3741,+47,98 58 71 42,1976-02-11,True
Gustav,Karlsson,Parktorget 923,Falun,40611,Sverige,SE,19490410-2253,+46,013-177 45 50,1949-04-10,True
Ola,Aasen,Isaksenhøgda 9,Karolinedal,0081,Norge,NO,19460713-2468,+47,54 22 05 39,1946-07-13,True
Ulla,Johansson,Parkvägen 3,Ängelholm,17659,Sverige,SE,19950822-9864,+46,08-150 34 90,1995-08-22,True
Barbro,Nordin,Idrottsstigen 368,Gävle,50728,Sverige,SE,19540126-9777,+46,08-48 75 88,1954-01-26,True
Rolf,Martinsen,Kristiansenhagen 3,Emileid,6040,Norge,NO,19561228-4380,+47,+4708416207,1956-12-28,True
Oskar,Nordström,Idrottsvägen 1,Piteå,86920,Sverige,SE,19580806-7048,+46,08-43 26 13,1958-08-06,True
Marianne,Bøe,Gulbrandsenhagen 446,Mathisen,1355,Norge,NO,19741010-4283,+47,49365788,1974-10-10,True
Torill,Næss,Thomassentoppen 700,Gunnfjord,3360,Norge,NO,19530827-9619,+47,92435468,1953-08-27,True
Bjørn,Johannessen,Lievollen 5B,Gulbrandsen,9643,Norge,NO,19690131-7020,+47,48995058,1969-01-31,True
Olov,Lundqvist,Kyrkvägen 78,Örnsköldsvik,76083,Sverige,SE,19950202-2525,+46,+46 (0)82 78 18 26,1995-02-02,True
Sebastian,Jacobsen,Simonsenroa 30B,Karlsen,3027,Norge,NO,19580110-1798,+47,95 12 82 75,1958-01-10,True
Johanna,Mäkinen,Vaarnatie 9,Kristiinankaupunki,23714,Finland,FI,19680902-138W,+358,+358 60 7311868,1968-09-02,True
Matthew,Anderson,Tyler Wall 541,West Davidburgh,03110,Danmark,DK,19770622-3071,+45,(450)784-1578,1977-06-22,True
Karin,Hauge,Tveitkroken 5,Martinsen,4548,Norge,NO,19600423-1100,+47,47683638,1960-04-23,True
Andreas,Haugen,Myklebusthavna 004,Kristensen,4917,Norge,NO,19820817-7944,+47,493 65 523,1982-08-17,True
Katarina,Svensson,Björkgränd 9,Mölndal,76819,Sverige,SE,19900714-4393,+46,0476-40 25 87,1990-07-14,True
Inga,Nilsson,Industrivägen 66,Mölndal,54426,Sverige,SE,19950409-4836,+46,08-69 45 80,1995-04-09,True
Johannes,Suomalainen,Haapakatu 329,Vehmaa,80180,Finland,FI,19690227-8883,+358,+358 74 6017854,1969-02-27,True
Sari,Johansson,Eino Leinon kuja 885,Kristiinankaupunki,37290,Finland,FI,19770224-1572,+358,057 810 7186,1977-02-24,True
Grete,Ellingsen,Strømstubben 91,Strøm,8386,Norge,NO,19430104-7970,47,967 41 021,1943-01-04,True
Kristin,Terrell,Caleb Forges 06984,Wallsview,50007,Danmark,DK,19400410-4349,+45,(709)962-4247x37830,1940-04-10,True
Torill,Rønning,Næssflata 76,Marithelle,4791,Norge,NO,19740630-9918,+47,491 19 761,1974-06-30,True
Michael,Cunningham,Campbell Greens 553,Johnsonberg,13867,Danmark,DK,19440826-8139,+45,211-686-9353x6948,1944-08-26,True
Louise,Nilsson,Ekvägen 287,Landskrona,60858,Sverige,SE,19820327-6598,+46,08-338 084 93,1982-03-27,True
Jan,Eriksson,Furustigen 7,Alingsås,74104,Sverige,SE,19930718-5378,+46,08-464 629 78,1993-07-18,True
Stefan,Skoglund,Björkgränd 836,Borlänge,28372,Sverige,SE,19970120-3999,+46,+46 (0)878 010 81,1997-01-20,True
Johan,Sivertsen,Iversenmyra 2,Magnestad,6277,Norge,NO,19910909-3246,+47,96280992,1991-09-09,True
Daniel,Yang,Katelyn Villages 642,South Cindy,66015,Danmark,DK,19890422-2293,+45,001-745-654-9386x063,1989-04-22,True
Tobias,Andersen,Arnesengjerdet 77,Emiliesand,7401,Norge,NO,19970212-5747,+47,+47 01 61 76 53,1997-02-12,True
Conny,Andersson,Fabriksgränd 5,Borlänge,64963,Sverige,SE,19740203-2057,+46,088-219 19 78,1974-02-03,True
Ingegerd,Holmberg,Åkergatan 3,Trelleborg,23864,Sverige,SE,19661115-3824,+46,072-33 08 28,1966-11-15,True
Aina,Larsson,Parkvägen 90,Göteborg,64742,Sverige,SE,19761207-2993,+46,08-821 05 81,1976-12-07,True
Sander,Haugen,Moehavna 3A,Myklebust,4839,Norge,NO,19980321-6339,+47,15 33 53 05,1998-03-21,True
Christina,Fredriksson,Stationsgatan 7,Sandviken,87653,Sverige,SE,19670630-7742,+46,+46 (0)673 127 07,1967-06-30,True
Michael,Kennedy,Gregory Keys 179,Johnsonberg,37727,Danmark,DK,19400408-3109,+45,(967)424-2283x21557,1940-04-08,True
Jason,Hunter,Amy Heights 08068,West Diana,79226,Danmark,DK,19970803-8153,+45,001-585-879-2748x4277,1997-08-03,True
Göran,Hedberg,Parkgränd 02,Karlstad,52347,Sverige,SE,19490129-8681,+46,+46 (0)978 075 06,1949-01-29,True
Jennifer,Craig,Carlson Curve 5183,North Kellyside,91108,Danmark,DK,19420302-0867,+45,(822)613-5747x92527,1942-03-02,True
Anna,Söderström,Grangatan 81,Sandviken,91288,Sverige,SE,19720315-4165,+46,099-06 83 48,1972-03-15,True
Jörgen,Nilsson,Kyrktorget 9,Östersund,44208,Sverige,SE,19741025-4242,+46,076-61 55 99,1974-10-25,True
Carl,Jensen,Idrottsvägen 1,Karlstad,97975,Sverige,SE,19521204-0085,+46,091-748 91 73,1952-12-04,True
Karen,Wilson,Joshua Ways 2931,Pennyhaven,01140,Danmark,DK,19900829-6039,+45,769.958.3906x71617,1990-08-29,False
Robin,Strömberg,Åkervägen 6,Örebro,22419,Sverige,SE,19991220-0293,+46,+46 (0)608 794 50,1999-12-20,True
Elin,Olsson,Industrigatan 9,Linköping,86841,Sverige,SE,19970805-5491,+46,+46 (0)727 900 81,1997-08-05,True
Sarah,Garcia,Regina Hollow 64023,Tiffanymouth,97067,Danmark,DK,19891008-0876,+45,(713)502-2951x2426,1989-10-08,True
Inge,Danielsson,Björktorget 5,Uppsala,77865,Sverige,SE,19930219-2276,+46,0159-34 10 97,1993-02-19,True
Michael,Knight,Hall Tunnel 092,Rodrigueztown,21639,Danmark,DK,19680727-2826,+45,795.880.4420,1968-07-27,True
Christina,Svensson,Åkervägen 1,Mölndal,46665,Sverige,SE,19760110-4044,+46,0459-907 26,1976-01-10,True
Mari,Andersson,Stationsvägen 888,Göteborg,73530,Sverige,SE,19880101-6555,+46,08-10 85 00,1988-01-01,True
Anna,Olsson,Skogsgatan 13,Motala,51387,Sverige,SE,19600709-5264,+46,08-714 38 79,1960-07-09,True
Ashley,Lee,Cummings Centers 67348,Martinfurt,54649,Danmark,DK,19880726-0668,+45,6067537139,1988-07-26,True
Eli,Johnsen,Ahmedjordet 781,Kristiansen,5245,Norge,NO,19560218-7971,+47,32 18 87 90,1956-02-18,True
Curtis,Kane,Tran Islands 56193,North Nathanbury,71132,Danmark,DK,19460601-6216,+45,506.467.0593,1946-06-01,True
Marianne,Sandberg,Backvägen 74,Linköping,41467,Sverige,SE,19450509-0915,+46,+46 (0)8 576 697 31,1945-05-09,True
Kristoffer,Knutsen,Vikhøgda 17C,Kåreodden,9998,Norge,NO,19951008-5073,+47,+4740669632,1995-10-08,True
Kenneth,Vik,Hagenvollen 9,Jørgensen,8940,Norge,NO,19880909-6387,+47,94 51 65 76,1988-09-09,True
David,Bailey,Leonard Loop 3858,South Tabithashire,92578,Danmark,DK,19801013-8694,+45,528.430.9191x022,1980-10-13,True
Sara,Johansson,Idrottsvägen 470,Lidköping,73718,Sverige,SE,19490330-7295,+46,+46 (0)056 437 48,1949-03-30,True
Brita,Persson,Ängsvägen 7,Östersund,90184,Sverige,SE,19950117-0401,+46,08-061 817 22,1995-01-17,True
Sanna,Laine,Dagmarinbulevardi 1,Kangasala,93206,Finland,FI,19930818-1424,+358,021 963 2641,1993-08-18,True
Jenny,Kristoffersen,Andresenfaret 20,Nygård,3932,Norge,NO,19731201-8894,+47,05 64 85 00,1973-12-01,True
Camilla,Engen,Martinsenstranda 7,Arnesen,7335,Norge,NO,19900522-0215,+47,77 71 58 34,1990-05-22,True
Hans,Gustafsson,Storgränd 9,Piteå,54224,Sverige,SE,19731113-3869,+46,057-828 32 97,1973-11-13,True
Helge,Eide,Solbergflata 5,Magnestrøm,9344,Norge,NO,19580823-1024,+47,+47 98 57 96 19,1958-08-23,True
Lovisa,Henriksson,Storgränd 216,Varberg,96719,Sverige,SE,19481006-7893,+46,+46 (0)89 91 74 60,1948-10-06,True
Margareta,Gustafsson,Kyrktorget 617,Borlänge,30594,Sverige,SE,19941125-5998,+46,0453-319 03,1994-11-25,True
Yvonne,Friberg,Storgatan 3,Umeå,90019,Sverige,SE,19740625-8428,+46,+46 (0)8 024 139 03,1974-06-25,True
Malin,Ahmed,Knutsenberget 50,Strand,8419,Norge,NO,19401229-6785,+47,88271974,1940-12-29,True
Gustaf,Andersson,Furugränd 01,Trelleborg,50023,Sverige,SE,19920226-4110,+46,08-20 67 05,1992-02-26,True
Kjetil,Ali,Aasbråten 6,Sondrefoss,0189,Norge,NO,19510920-1768,+47,456 22 050,1951-09-20,True
Sara,Jansson,Åkertorget 42,Lidingö,44606,Sverige,SE,19761101-3853,+46,+46 (0)65 65 07 93,1976-11-01,True
Greta,Englund,Nyvägen 9,Kalmar,71174,Sverige,SE,19821205-5997,+46,08-305 728 58,1982-12-05,True
Roy,Leon,Woodward Crossing 64523,Markport,05642,Danmark,DK,19831030-0365,+45,866-477-6375,1983-10-30,True
